ticker,year,month,window_size,mu,sigma,beta_sentiment,MAE,RMSE
NVDA,2024,9,252,0.8853337128991814,0.496359965026006,0.849541494302261,3.46717982811464,4.311993449719823
NVDA,2024,10,252,1.0364551780960907,0.5140343716071688,0.29429369827913265,9.437763542138024,10.4805755670117
NVDA,2024,11,252,1.1806538483384421,0.513155709920496,0.46822458043345705,6.02192316548272,7.701725016725783
NVDA,2024,12,252,1.0552527185438991,0.5181836651819111,0.6732988564741299,11.720227819754347,13.618425390014414
NVDA,2025,1,252,0.9978681799252045,0.5206462038962865,0.35173096114261354,10.720045846965627,14.680210989189135
NVDA,2025,2,252,0.6488174424464228,0.568718602748307,0.7826981733993956,10.288107236002936,12.031817707738744
NVDA,2025,3,252,0.46230112203756124,0.5578158067067367,0.5952425191590872,4.004752745727247,4.82470560813541
NVDA,2025,4,252,0.18338849306405386,0.5679539435101673,0.18499519060759473,6.054510945183944,8.14482603211056
NVDA,2025,5,252,0.2166211660784752,0.5970221254850776,0.3550009394178918,15.306902136756166,17.758940128406135
NVDA,2025,6,252,0.17123623139172509,0.5898999794746963,-0.9106412039922097,6.724486932238614,8.784490333533771
NVDA,2025,7,252,0.127539559576693,0.5850126559587674,-0.9584501167033543,13.087231947152066,15.116258312825153
NVDA,2025,8,252,0.25064607615250034,0.570232050817343,-0.954087901114438,4.865619426117005,5.75562019827907
NVDA,2025,9,252,0.3303480009277737,0.5230430086929058,-0.6636858888327904,5.0354319091122095,6.235820885422578
NVDA,2025,10,252,0.3735867291756657,0.498227172546407,-0.4544338733884907,6.240927644390394,8.708726364029204
NVDA,2025,11,252,0.3559494252070942,0.4966161597045054,-0.42578237837380184,18.81916416809988,20.561495033890495
NVDA,2025,12,252,0.12265046707647159,0.5014345402960112,-0.7137383856078562,0.8643980140404466,1.2224433947443687
AMD,2022,1,252,0.45048715689033936,0.423363085814979,-0.3233932319574582,30.708331976269296,35.45126588595628
AMD,2022,2,252,0.26492329300736334,0.4456617051130181,-0.1501660287326866,5.38482359550604,6.500396655515918
AMD,2022,3,252,0.35607281856645123,0.47377389916234064,-0.012684350186575809,4.887690867330315,6.09395448802821
AMD,2022,4,252,0.2989026561785748,0.49575530181341265,0.04345715459811298,13.422044237855223,15.486784995900608
AMD,2022,5,252,0.046675863835084874,0.5052749402368945,-0.13219831057006196,4.482263829934041,5.502517698638074
AMD,2022,6,252,0.23149863741485077,0.5482405277298066,-0.22211887089434218,14.410718574105534,17.02694691125732
AMD,2022,7,252,-0.2056513042360969,0.570640614294628,-0.8005722353714374,6.854053360411352,8.346535459317579
AMD,2022,8,252,-0.08596106712805332,0.5752287669254467,-0.6127153171833963,5.49449703996916,7.609154950057808
AMD,2022,9,252,-0.26588379655068556,0.5792671356383009,-0.9586766306140883,9.569570468424157,12.0273204321202
AMD,2022,10,252,-0.48492490052951454,0.5930176642806346,-1.1455819636150701,10.644874011125765,11.802680318135005
AMD,2022,11,252,-0.6940625174872463,0.6176301089346029,-1.1262415532750334,8.599729843881821,10.18971299295429
AMD,2022,12,252,-0.7129801216347899,0.6245790443074924,-0.6764929518440416,9.834844785001101,10.683511442620043
AMD,2023,1,252,-0.8069251670546272,0.6120493218901963,-0.8049128841904648,4.767329827068406,5.634611088945246
AMD,2023,2,252,-0.33675729937000964,0.608883737210056,-1.713102467059659,8.343373500993366,10.083171168978076
AMD,2023,3,252,-0.4321690328645259,0.5957854357244535,-1.2996175088633939,12.097810965230314,14.283676963735504
AMD,2023,4,252,-0.25627670707890404,0.5808249083457135,-0.728956220467409,8.173189628843476,9.27804362098163
AMD,2023,5,252,0.020959515133233075,0.564542194868532,-0.5791980414546216,10.830518270398999,14.036854071753027
AMD,2023,6,252,0.15257760427132816,0.5509232172396399,-0.38169451628938317,7.061280968481284,8.967600732519948
AMD,2023,7,252,0.31638561207235016,0.5357864081484311,-0.1921692882219351,4.543585964701458,5.574155028215452
AMD,2023,8,252,0.21459974005704185,0.5259177799815179,-0.18494520378097806,11.747708364681486,13.182470119440106
AMD,2023,9,252,0.15061088617951932,0.5263937239635015,0.5097820414912845,4.874559891544498,6.000056557298724
AMD,2023,10,252,0.3984595036757315,0.5155124994352394,0.6877112683909942,2.553318713280437,3.205360864470726
AMD,2023,11,252,0.4920281896691633,0.4905752385407611,0.7461747837538393,10.309391400667945,11.521614114412307
AMD,2023,12,252,0.47675949544939566,0.46640009341860245,0.7711016900144076,16.006080400943382,18.26276563232038
AMD,2024,1,252,0.8185128665435268,0.4628964013459443,0.5039920604408443,18.705068378136428,22.818100060302104
AMD,2024,2,252,0.7720160681022293,0.4714159628661305,0.7990045927036206,6.736042918008332,9.075083346757088
AMD,2024,3,252,0.8664261203377872,0.4680573219184076,0.7553829032939824,13.45790298190912,16.33193924069726
AMD,2024,4,252,0.6464408771716906,0.4667701232748742,0.04595801214541334,25.488364392399898,28.48648354651845
AMD,2024,5,252,0.5722121534859873,0.48134295623477436,0.10300047833540814,11.469138974543801,12.925756577161875
AMD,2024,6,252,0.3449320980805298,0.45857608392509125,0.9017382944262582,3.140736222296988,3.7821617037127795
AMD,2024,7,252,0.386867222720285,0.4482935956109471,0.591618337036665,12.686965191234309,15.838987120628875
